date,yield_rate
2004-09-06,4.262767322619997
2004-09-07,4.26066676103177
2004-09-08,4.280396753520563
2004-09-09,4.215734988748674
2004-09-10,4.175095275424142
2004-09-13,4.190623270463905
2004-09-14,4.184909580971627
2004-09-15,4.182229073075899
2004-09-16,4.182468745629011
2004-09-17,4.158153751422427
2004-09-20,4.133185077066721
2004-09-21,4.14016243352598
2004-09-22,4.118520449337277
2004-09-23,4.050969587058712
2004-09-24,4.090420504329362
2004-09-27,4.066982732567494
2004-09-28,4.065094657832283
2004-09-29,4.104134165542783
2004-09-30,4.115248751938302
2004-10-01,4.1381126033076185
2004-10-04,4.167805801683227
2004-10-05,4.121224629133308
2004-10-06,4.117858629585626
2004-10-07,4.12817174002782
2004-10-08,4.075576307861187
2004-10-11,4.086838311580854
2004-10-12,4.042218502725698
2004-10-13,4.054827062823955
2004-10-14,4.0345978741604815
2004-10-15,4.026246766920017
2004-10-18,4.030701738456632
2004-10-19,4.0535374582804025
2004-10-20,4.012028532020948
2004-10-21,4.008443714688708
2004-10-22,4.008329794713252
2004-10-25,3.9692835696174984
2004-10-26,3.965424929268767
2004-10-27,3.963205299691888
2004-10-28,4.0418884648769975
2004-10-29,3.984350949695931
2004-11-01,3.9931133103214203
2004-11-02,4.038669259838662
2004-11-03,4.0372846863269976
2004-11-04,4.037881688623425
2004-11-05,4.038600410801716
2004-11-08,4.038311750044008
2004-11-09,3.998957984273886
2004-11-10,3.9827530474490387
2004-11-11,3.962698576635627
2004-11-12,3.935128589787844
2004-11-15,3.9001610640991498
2004-11-16,3.8766257403435795
2004-11-17,3.8958296743623233
2004-11-18,3.924662828921936
2004-11-19,3.9071945288366186
2004-11-22,3.880658727070694
2004-11-23,3.872383968045415
2004-11-24,3.8678961797793034
2004-11-25,3.8552569711212716
2004-11-26,3.852552304846499
2004-11-29,3.891298369509693
2004-11-30,3.8673651381986103
2004-12-01,3.8441941561271222
2004-12-02,3.871929178336627
2004-12-03,3.842880942312139
2004-12-06,3.7949090096320988
2004-12-07,3.7659117575333436
2004-12-08,3.767471486864161
2004-12-09,3.6918626029256707
2004-12-10,3.6678119177785242
2004-12-13,3.676849053218999
2004-12-14,3.6630049805127594
2004-12-15,3.616320081885306
2004-12-16,3.637812539019017
2004-12-17,3.687594466562232
2004-12-20,3.6570748823980046
2004-12-21,3.6800163740181486
2004-12-22,3.678280693227639
2004-12-23,3.6494839943154678
2004-12-24,3.5948579626121053
2004-12-27,3.6713108116325546
2004-12-28,3.6853950655372274
2004-12-29,3.7454389538387485
2004-12-30,3.7482995462095383
2004-12-31,3.7299365612862183
2005-01-03,3.709419286293714
2005-01-04,3.7030011924534207
2005-01-05,3.731528137330759
2005-01-06,3.688473103649583
2005-01-07,3.661229202374943
2005-01-10,3.662095972418369
2005-01-11,3.6552082233256904
2005-01-12,3.6645231972284886
2005-01-13,3.63090921091816
2005-01-14,3.62258288583269
2005-01-17,3.5967886804015876
2005-01-18,3.612621476381157
2005-01-19,3.5741603248966074
2005-01-20,3.6246032093858025
2005-01-21,3.6294145569983622
2005-01-24,3.599280400704123
2005-01-25,3.5732477426952496
2005-01-26,3.6160171970444055
2005-01-27,3.624272676579645
2005-01-28,3.582180190237252
2005-01-31,3.5771565071068765
2005-02-01,3.5776444085770422
2005-02-02,3.5604333104728556
2005-02-03,3.5765221220808043
2005-02-04,3.5284010137393347
2005-02-07,3.5063140346155586
2005-02-08,3.506309606054429
2005-02-09,3.471582117732135
2005-02-10,3.465483375604307
2005-02-11,3.4955094681975036
2005-02-14,3.521390161529703
2005-02-15,3.531244017142207
2005-02-16,3.508758996852766
2005-02-17,3.6142434792879916
2005-02-18,3.691645484451611
2005-02-21,3.707899631887217
2005-02-22,3.717535267175698
2005-02-23,3.70919749152961
2005-02-24,3.733665142597668
2005-02-25,3.767264899731061
2005-02-28,3.7321613720553573
2005-03-01,3.745927094172567
2005-03-02,3.8164533259729154
2005-03-03,3.796763873562447
2005-03-04,3.7488769654901297
2005-03-07,3.7088814713247937
2005-03-08,3.7432009775065183
2005-03-09,3.8077378388324834
2005-03-10,3.802180891797708
2005-03-11,3.8152948420888935
2005-03-14,3.8222468972035855
2005-03-15,3.7661266981406225
2005-03-16,3.7493669571213846
2005-03-17,3.7209467053851277
2005-03-18,3.761289245345374
2005-03-21,3.7712815882877155
2005-03-22,3.725675777752968
2005-03-23,3.7656565013206382
2005-03-24,3.734206920904451
2005-03-29,3.747086080578234
2005-03-30,3.7325934244168377
2005-03-31,3.693342973372033
2005-04-01,3.6499150106828933
2005-04-04,3.659386628357267
2005-04-05,3.6516836952985288
2005-04-06,3.6491341994031115
2005-04-07,3.6285394586579414
2005-04-08,3.6442190972380097
2005-04-11,3.6333031356051415
2005-04-12,3.6254222540377024
2005-04-13,3.598306812257431
2005-04-14,3.6089124579834415
2005-04-15,3.5711928054027324
2005-04-18,3.571032537015173
2005-04-19,3.5415405417480477
2005-04-20,3.5452951225862073
2005-04-21,3.587898055483003
2005-04-22,3.547251646987349
2005-04-25,3.5331241560159796
2005-04-26,3.514579095719734
2005-04-27,3.4890509603408266
2005-04-28,3.488186829743032
2005-04-29,3.5288865500719737
2005-05-02,3.495196323211336
2005-05-03,3.488480428461208
2005-05-04,3.5249935518485294
2005-05-05,3.512405554449911
2005-05-06,3.539666429059674
2005-05-09,3.538292952542641
2005-05-10,3.4668033203899378
2005-05-11,3.438728253083755
2005-05-12,3.4389243010408084
2005-05-13,3.4030820982656937
2005-05-16,3.4118177688481204
2005-05-17,3.4242270377000876
2005-05-18,3.389814619774794
2005-05-19,3.402703248902877
2005-05-20,3.444935284978742
2005-05-23,3.414572766983229
2005-05-24,3.377583499775387
2005-05-25,3.3712270170921737
2005-05-26,3.4132568110958488
2005-05-27,3.4255222593289307
2005-05-30,3.4269961890172618
2005-05-31,3.3651471205955965
2005-06-01,3.3390105632872356
2005-06-02,3.3219730632365363
2005-06-03,3.255403680837367
2005-06-06,3.2987135966384438
2005-06-07,3.2449318062686587
2005-06-08,3.214192904156329
2005-06-09,3.2287244501336585
2005-06-10,3.238401365091499
2005-06-13,3.26994703572024
2005-06-14,3.2782634183994346
2005-06-15,3.365827872528833
2005-06-16,3.4114141365960418
2005-06-17,3.3845529809558994
2005-06-20,3.398996480216984
2005-06-21,3.3082102760172996
2005-06-22,3.2331549905786003
2005-06-23,3.241421142865444
2005-06-24,3.2178709856377004
2005-06-27,3.2014301182372207
2005-06-28,3.2458567177901423
2005-06-29,3.2236492208666645
2005-06-30,3.2386172820253813
2005-07-01,3.2248427776869746
2005-07-04,3.2600805650182143
2005-07-05,3.304464444161728
2005-07-06,3.306716367647486
2005-07-07,3.2811497999573644
2005-07-08,3.2563060058699516
2005-07-11,3.3019413523771903
2005-07-12,3.309071297830927
2005-07-13,3.3294803973782705
2005-07-14,3.3698323110379533
2005-07-15,3.372330202267135
2005-07-18,3.337476199926435
2005-07-19,3.3598709126270245
2005-07-20,3.3753109738596763
2005-07-21,3.3639611662449824
2005-07-22,3.3259033200406907
2005-07-25,3.314106807763645
2005-07-26,3.326961894193069
2005-07-27,3.306212226325356
2005-07-28,3.3116545942485005
2005-07-29,3.312224506643873
2005-08-01,3.36811731901459
2005-08-02,3.369884859206331
2005-08-03,3.406919036287187
2005-08-04,3.393747690816098
2005-08-05,3.4431376691428275
2005-08-08,3.444392268536383
2005-08-09,3.426251244073822
2005-08-10,3.4067656463094695
2005-08-11,3.408496889784015
2005-08-12,3.3772994441734814
2005-08-15,3.3540031041584117
2005-08-16,3.3322557987900865
2005-08-17,3.3080427588937473
2005-08-18,3.28952804323364
2005-08-19,3.280804579457695
2005-08-22,3.2927124904050435
2005-08-23,3.2585112331382993
2005-08-24,3.2452739409104097
2005-08-25,3.2242839201066515
2005-08-26,3.2240427713348767
2005-08-29,3.2207226355157883
2005-08-30,3.246090199067787
2005-08-31,3.179583771343541
2005-09-01,3.158395791549891
2005-09-02,3.143420434214227
2005-09-05,3.131771154353447
2005-09-06,3.157442050896709
2005-09-07,3.163881404675326
2005-09-08,3.1476584297960586
2005-09-09,3.124498173286906
2005-09-12,3.1843896627198136
2005-09-13,3.1770920287414866
2005-09-14,3.1524800177677754
2005-09-15,3.1795672734089266
2005-09-16,3.2028299513030554
2005-09-19,3.187646951529992
2005-09-20,3.1430655194953765
2005-09-21,3.0969730095981767
2005-09-22,3.102317737998678
2005-09-23,3.1246429910338427
2005-09-26,3.179547072103216
2005-09-27,3.172630396238571
2005-09-28,3.1940418502298815
2005-09-29,3.2106200368050257
2005-09-30,3.194568775937162
2005-10-03,3.2736609124683818
2005-10-04,3.219312331677365
2005-10-05,3.220854463257673
2005-10-06,3.232206666340475
2005-10-07,3.2330456018587834
2005-10-10,3.207887732796621
2005-10-11,3.225613185515723
2005-10-12,3.2569486494467705
2005-10-13,3.320710983878864
2005-10-14,3.318012825294738
2005-10-17,3.33637001119885
2005-10-18,3.337258550417231
2005-10-19,3.3062534669075054
2005-10-20,3.3347778827356738
2005-10-21,3.2719435788932447
2005-10-24,3.2672128469039947
2005-10-25,3.3200825624726353
2005-10-26,3.4233249652760063
2005-10-27,3.4139572107070837
2005-10-28,3.420932800534601
2005-10-31,3.411285415384933
2005-11-01,3.420745547711531
2005-11-02,3.489056362520572
2005-11-03,3.5009578921557094
2005-11-04,3.510934176308485
2005-11-07,3.534977853356129
2005-11-08,3.516993693556512
2005-11-09,3.5504039981231235
2005-11-10,3.5754728809272858
2005-11-11,3.560668452480038
2005-11-14,3.549164388425867
2005-11-15,3.5871135289563347
2005-11-16,3.4895732952176397
2005-11-17,3.511683665838545
2005-11-18,3.5739052068077974
2005-11-21,3.5717148388387163
2005-11-22,3.546075810364661
2005-11-23,3.517086646949614
2005-11-24,3.416429546411059
2005-11-25,3.4581979577295647
2005-11-28,3.465609003872724
2005-11-29,3.465531388987324
2005-11-30,3.5039812423492886
2005-12-01,3.4271624623705685
2005-12-02,3.460157422643616
2005-12-05,3.4599798287792973
2005-12-06,3.4250535081929065
2005-12-07,3.417820809414061
2005-12-08,3.422971294293665
2005-12-09,3.4695494355411824
2005-12-12,3.4578240084981706
2005-12-13,3.4365883309550966
2005-12-14,3.4034272866907815
2005-12-15,3.405735242021895
2005-12-16,3.3787174534742426
2005-12-19,3.384199471879929
2005-12-20,3.3963833807048593
2005-12-21,3.4223570595541566
2005-12-22,3.4129554890161784
2005-12-23,3.416182841727303
2005-12-27,3.3761661163335734
2005-12-28,3.3381724415402987
2005-12-29,3.3626692784664245
2005-12-30,3.287880740278383
2006-01-02,3.4081301457329762
2006-01-03,3.4171295335659853
2006-01-04,3.348986500300197
2006-01-05,3.3215076970259374
2006-01-06,3.3202371416983287
2006-01-09,3.287734568176082
2006-01-10,3.3063031419478683
2006-01-11,3.3233898488307494
2006-01-12,3.2972490942777712
2006-01-13,3.290726390167931
2006-01-16,3.294808782623306
2006-01-17,3.2933983826290714
2006-01-18,3.3131909126850565
2006-01-19,3.3783501181663835
2006-01-20,3.374385733802892
2006-01-23,3.419494218994128
2006-01-24,3.4184677095200446
2006-01-25,3.448599148800847
2006-01-26,3.4830515431945943
2006-01-27,3.492088122874119
